########################################################################################
Starting Measurement Run at 08/10/2020 16:58:21
CSV file: pcb-full.csv
PARTNAME;NETNAME;PAD-ID;PAD-NAME;TRANSFORMED-X;TRANSFORMED-Y;MEASUREMENT-RESULT
BETA;BANK13_01_P;87;88;56.7594;46.2165;277 2B4 1EB 1E4 0EC 058
BETA;BANK13_01_P;87;88;56.7594;46.2165;276 2B4 1EC 1E8 10A 047
BETA;BANK13_01_P;87;88;56.7594;46.2165;277 2B4 1ED 1E8 105 059
BETA;BANK13_01_P;87;88;56.7594;46.2165;278 2B4 1EE 1E7 0ED 065
BETA;BANK13_01_P;87;88;56.7594;46.2165;277 2B4 1EC 1EA 0EA 050
BETA;BANK13_01_P;87;88;56.7594;46.2165;276 2B4 1ED 1E8 102 06F
BETA;BANK13_01_P;87;88;56.7594;46.2165;277 2B4 1ED 1E0 0F2 065
BETA;BANK13_01_P;87;88;56.7594;46.2165;278 2B4 1EC 1E7 0FA 04D
BETA;BANK13_01_P;87;88;56.7594;46.2165;277 2B4 1E8 1EA 0FA 05F
BETA;BANK13_01_P;87;88;56.7594;46.2165;277 2B4 1EB 1E6 0E3 04F
BETA;BANK13_01_P;87;88;56.7594;46.2165;277 2B4 1E6 1E6 0F2 073
BETA;BANK13_00_N;88;89;52.3843;45.3254;277 2B4 1ED 1E8 105 085
BETA;BANK13_00_N;88;89;52.3843;45.3254;27A 2B4 1EE 1DE 0F5 063
BETA;BANK13_00_N;88;89;52.3843;45.3254;277 2B3 1F0 1E8 10D 05F
BETA;BANK13_00_N;88;89;52.3843;45.3254;278 2B4 1EF 1E8 0EF 075
BETA;BANK13_00_N;88;89;52.3843;45.3254;277 2B4 1ED 1E6 0FD 076
BETA;BANK13_00_N;88;89;52.3843;45.3254;277 2B2 1ED 1E8 0DD 04E
BETA;BANK13_00_N;88;89;52.3843;45.3254;277 2B4 1EB 1F2 0F1 05C
BETA;BANK13_00_N;88;89;52.3843;45.3254;277 2B4 1F4 1E7 0F6 065
BETA;BANK13_00_N;88;89;52.3843;45.3254;277 2B4 1ED 1EB 0E6 057
BETA;BANK13_00_N;88;89;52.3843;45.3254;278 2B3 1DF 1E8 0E1 055
BETA;BANK13_00_N;88;89;52.3843;45.3254;278 2B4 1ED 1E8 0F3 06B
BETA;BANK13_00_N;88;89;52.3843;45.3254;278 2B4 1ED 1E8 100 086
BETA;BANK13_00_N;88;89;52.3843;45.3254;277 2B4 1EE 1EA 0F3 067
BETA;BANK13_00_N;88;89;52.3843;45.3254;277 2B4 1EA 1E7 0FA 06A
BETA;BANK13_00_N;88;89;52.3843;45.3254;276 2B4 1F0 1E9 0F6 072
BETA;BANK13_00_N;88;89;52.3843;45.3254;276 2B4 1ED 1E5 0EE 07B
BETA;BANK13_01_N;89;90;56.7783;45.4168;278 2B5 1EE 1E7 0FE 044
BETA;BANK13_01_N;89;90;56.7783;45.4168;273 2B4 1EA 1E6 0EA 062
BETA;BANK13_01_N;89;90;56.7783;45.4168;278 2B4 1EB 1EB 10F 06A
BETA;BANK13_01_N;89;90;56.7783;45.4168;277 2B4 1ED 1E8 0F4 061
BETA;BANK13_01_N;89;90;56.7783;45.4168;277 2B4 1ED 1E7 0DB 061
BETA;BANK13_01_N;89;90;56.7783;45.4168;276 2B4 1EC 1E7 0F3 05E
BETA;BANK13_01_N;89;90;56.7783;45.4168;277 2B4 1EE 1E6 0E6 060
BETA;BANK13_01_N;89;90;56.7783;45.4168;277 2B5 1EC 1E8 0F9 076
BETA;BANK13_01_N;89;90;56.7783;45.4168;278 2B4 1EC 1E8 0F2 05E
